year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
2014,Acura,ILX,Technology Package,Sedan,automatic,19vde1f70ee008913,ca,2.5,9051,gray,black,american honda motor company,22700,21250,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2014,Acura,MDX,Advance and Entertainment Packages,SUV,automatic,5fryd3h83eb011004,ca,4.9,21523,white,gray,onemain rem/m&m auto traders,39500,41500,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2014,Acura,ILX,Base,Sedan,automatic,19vde1f38ee011281,ca,4.1,12905,silver,gray,american honda motor company,19950,20400,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,Acura,TSX,Base,Sedan,automatic,jh4cu2f43cc007761,ca,3.9,43127,black,black,"ahfc/honda lease trust/hvt, inc. eot",16450,17800,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,Acura,TL,Base,Sedan,automatic,19uua8f23ca002640,ca,4.1,28395,gray,black,"ahfc/honda lease trust/hvt, inc. eot",19200,20200,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,Acura,TL,Base,Sedan,automatic,19uua8f23ca027165,ca,4.4,19669,black,gray,"ahfc/honda lease trust/hvt, inc. eot",19850,21600,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,Acura,TL,Base,Sedan,automatic,19uua8f26ca035583,ca,3.7,21443,silver,black,"ahfc/honda lease trust/hvt, inc.",19700,20900,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,Acura,TSX,Special Edition,Sedan,automatic,jh4cu2f8xcc014175,ca,3.7,31595,white,black,"ahfc/honda lease trust/hvt, inc. eot",18100,18900,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,Acura,TSX,Special Edition,Sedan,automatic,jh4cu2f87cc007412,ca,4.5,37284,red,black,"ahfc/honda lease trust/hvt, inc. eot",17700,18400,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,Acura,TL,Base,Sedan,automatic,19uua8f24ca004980,ca,4.2,32354,black,beige,"ahfc/honda lease trust/hvt, inc. eot",18900,20300,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,Acura,TSX,Base,Sedan,automatic,jh4cu2f48cc010509,ca,4.2,36621,gray,black,"ahfc/honda lease trust/hvt, inc. eot",16800,18200,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
